CMDLINE python bad_optimizing.py
MEM 11139.023438 1686578304.7466
MEM 11139.023438 1686578304.8507
MEM 11139.023438 1686578304.9548
MEM 11139.023438 1686578305.0594
MEM 11139.023438 1686578305.1625
MEM 11139.023438 1686578305.2661
MEM 11139.023438 1686578305.3698
MEM 11139.023438 1686578305.4739
MEM 11139.023438 1686578305.5780
MEM 11139.023438 1686578305.6819
MEM 11139.023438 1686578305.7849
MEM 11139.023438 1686578305.8890
MEM 11139.023438 1686578305.9930
MEM 11139.023438 1686578306.0971
MEM 11139.023438 1686578306.2008
MEM 11139.023438 1686578306.3048
MEM 11139.023438 1686578306.4095
MEM 11139.023438 1686578306.5136
MEM 11139.023438 1686578306.6167
MEM 11139.023438 1686578306.7208
MEM 11139.023438 1686578306.8245
MEM 11139.023438 1686578306.9285
MEM 11139.023438 1686578307.0326
MEM 11139.023438 1686578307.1382
MEM 11139.023438 1686578307.2419
MEM 11139.023438 1686578307.3461
MEM 11139.023438 1686578307.4497
MEM 11139.023438 1686578307.5538
MEM 11139.023438 1686578307.6580
MEM 11139.023438 1686578307.7622
MEM 11139.023438 1686578307.8663
MEM 11139.023438 1686578307.9704
MEM 11139.023438 1686578308.0745
MEM 11139.023438 1686578308.1786
MEM 11139.023438 1686578308.2827
MEM 11139.023438 1686578308.3868
MEM 11139.023438 1686578308.4909
MEM 11139.023438 1686578308.5950
MEM 11139.023438 1686578308.6990
MEM 11139.023438 1686578308.8031
MEM 11139.023438 1686578308.9069
MEM 11139.023438 1686578309.0109
MEM 11139.023438 1686578309.1147
MEM 11139.023438 1686578309.2187
MEM 11139.023438 1686578309.3228
MEM 11139.023438 1686578309.4269
MEM 11139.023438 1686578309.5310
MEM 11139.023438 1686578309.6351
MEM 11139.023438 1686578309.7392
MEM 11139.023438 1686578309.8433
MEM 11139.023438 1686578309.9470
MEM 11139.023438 1686578310.0511
MEM 11139.023438 1686578310.1552
MEM 11139.023438 1686578310.2593
MEM 11139.023438 1686578310.3634
MEM 11139.023438 1686578310.4677
MEM 11139.023438 1686578310.5719
MEM 11139.023438 1686578310.6760
MEM 11139.023438 1686578310.7800
MEM 11139.023438 1686578310.8841
MEM 11139.023438 1686578310.9882
MEM 11139.023438 1686578311.0923
MEM 11139.023438 1686578311.1964
MEM 11139.023438 1686578311.2995
MEM 11139.023438 1686578311.4036
MEM 11139.023438 1686578311.5072
MEM 11139.023438 1686578311.6108
MEM 11139.023438 1686578311.7146
MEM 11139.023438 1686578311.8188
MEM 11139.023438 1686578311.9229
MEM 11139.023438 1686578312.0270
MEM 11139.023438 1686578312.1310
MEM 11139.023438 1686578312.2351
MEM 11139.023438 1686578312.3389
MEM 11139.023438 1686578312.4431
MEM 11139.023438 1686578312.5482
MEM 11139.023438 1686578312.6518
MEM 11139.023438 1686578312.7556
MEM 11139.023438 1686578312.8603
MEM 11139.023438 1686578312.9644
MEM 11139.023438 1686578313.0685
MEM 11139.023438 1686578313.1726
MEM 11139.023438 1686578313.2767
MEM 11139.023438 1686578313.3808
MEM 11139.023438 1686578313.4849
MEM 11139.023438 1686578313.5885
MEM 11139.023438 1686578313.6926
MEM 11139.023438 1686578313.7967
MEM 11139.023438 1686578313.9003
MEM 11139.023438 1686578314.0044
MEM 11139.023438 1686578314.1085
MEM 11139.023438 1686578314.2118
MEM 11139.023438 1686578314.3159
MEM 11139.023438 1686578314.4206
MEM 11139.023438 1686578314.5252
MEM 11139.023438 1686578314.6289
MEM 11139.023438 1686578314.7332
